category_name,total_products,avg_price,avg_stars,total_reviews,total_bought_last_month,avg_popularity_score,best_seller_count
Industrial & Scientific,4433,19.9175975637266,4.554725919242048,0.0,7093350.0,1.7823934130385743,404
Hardware,4421,24.628283193847544,4.446188645102918,5821644.0,293750.0,26.98684474731702,70
Sports Nutrition Products,4421,33.26305586971274,4.281497398778557,0.0,3075000.0,0.7127346754128026,38
Pet Bird Supplies,4396,18.515846223839855,3.505209281164695,0.0,101400.0,0.027161055505004552,9
"Test, Measure & Inspect",4370,68.32711899313502,3.9808695652173918,0.0,143700.0,0.04890160183066361,35
Kids' Electronics,4295,38.53881024447031,3.280209545983702,799.0,103000.0,0.04715745179351403,5
Occupational Health & Safety Products,4265,24.26623446658851,4.27158264947245,0.0,234750.0,0.06254396248534584,16
Vision Products,4258,17.59121183654298,4.047463597933302,0.0,635200.0,0.16139032409581963,26
Kids' Party Supplies,4241,15.22482197594907,4.102593727894364,313189.0,401550.0,7.278625336023219,2
Accessories & Supplies,4226,40.37840037860861,4.419592995740653,0.0,832100.0,0.25605773781353525,125
Baby Gifts,4098,19.26183016105417,3.8270619814543676,0.0,127650.0,0.034077598828696924,6
Home Lighting & Ceiling Fans,4073,42.02758654554382,4.312251411735821,0.0,82350.0,0.02660201325804076,13
Oral Care Products,4028,18.06699851042701,4.365143992055611,0.0,3578600.0,0.8988579940417081,21
Horse Supplies,3865,48.982644243208284,2.911461836998706,5690.0,25250.0,0.3398537555234589,7
Power Tools & Hand Tools,3852,37.06951713395639,4.5021806853582556,0.0,1026200.0,0.29132917964693666,48
Professional Medical Supplies,3852,26.36365784008307,4.215965732087227,0.0,262850.0,0.07965991692627207,22
Girls' Accessories,3842,16.482722540343573,3.955361790733993,0.0,46150.0,0.018779281624154088,13
"Xbox 360 Games, Consoles & Accessories",3809,29.766046206353373,3.6836965082698874,18916.0,15400.0,0.693624931280798,10
Baby & Child Care Products,3791,19.255824320759693,4.09868108678449,0.0,1028150.0,0.2754286467950409,8
Health Care Products,3791,19.11402532313374,4.431363756264838,0.0,3717050.0,1.0068715378528093,50
Boys' Accessories,3660,18.760215846994534,3.9990710382513663,0.0,53050.0,0.024330601092896174,18
